"NAME","STATE","COUNTY","S1501_C01_006E","S1501_C01_007E","S1501_C01_008E","S1501_C01_009E","S1501_C01_010E","S1501_C01_011E","S1501_C01_012E","S1501_C01_013E","state","county","yr"
"Wyoming County, New York","36","121","29144","923","2099","11861","5413","4027","2994","1827","36","121",2018
"Oswego County, New York","36","075","80149","2684","7120","30175","14783","10493","8774","6120","36","075",2018
"Wayne County, New York","36","117","63828","2176","4562","22077","12098","8686","8142","6087","36","117",2018
"Broome County, New York","36","007","128950","3520","8793","40079","23493","16591","20188","16286","36","007",2018
"Erie County, New York","36","029","643713","17901","37525","178600","117424","75627","120854","95782","36","029",2018
"Sullivan County, New York","36","105","53101","2480","4864","17834","9832","5777","6934","5380","36","105",2018
"Bradley County, Arkansas","05","011","7494","514","838","3120","1517","363","816","326","05","011",2018
"Lafayette County, Arkansas","05","073","4977","252","657","2055","872","320","645","176","05","073",2018
"Phillips County, Arkansas","05","107","12339","980","1685","3709","3249","987","1044","685","05","107",2018
"Yell County, Arkansas","05","149","14499","1323","1569","5923","3122","599","1442","521","05","149",2018
"Polk County, Arkansas","05","113","14102","807","1359","5275","3395","1394","1130","742","05","113",2018
"Ouachita County, Arkansas","05","103","16716","592","1820","6958","3433","1242","1677","994","05","103",2018
"Little River County, Arkansas","05","081","8791","226","815","3758","2418","571","640","363","05","081",2018
"Miller County, Arkansas","05","091","29751","1122","3048","10680","8289","1678","3283","1651","05","091",2018
"White County, Arkansas","05","145","50930","2781","4673","19564","9374","3660","6568","4310","05","145",2018
"Lake County, California","06","033","46394","2620","4252","13951","12892","5355","4759","2565","06","033",2018
"Dent County, Missouri","29","065","10977","829","1268","4431","2048","802","1010","589","29","065",2018
"Mercer County, Missouri","29","129","2458","105","146","1153","460","152","262","180","29","129",2018
"Wright County, Missouri","29","229","12415","1075","1305","5490","2343","792","884","526","29","229",2018
"Clay County, Missouri","29","047","160961","3248","7764","46437","37383","13433","35572","17124","29","047",2018
"Saline County, Missouri","29","195","15209","1100","1323","5990","3330","735","1741","990","29","195",2018
"Worth County, Missouri","29","227","1479","75","116","622","326","81","181","78","29","227",2018
"Grundy County, Missouri","29","079","6764","369","450","2704","1268","701","765","507","29","079",2018
"Morgan County, Missouri","29","141","14230","1276","1669","5701","2755","998","1157","674","29","141",2018
"Reynolds County, Missouri","29","179","4624","285","706","1908","842","371","378","134","29","179",2018
"St. Louis County, Missouri","29","189","689502","13837","32410","146184","146073","53365","171146","126487","29","189",2018
"Stone County, Missouri","29","209","24251","696","2572","8032","6789","1700","3147","1315","29","209",2018
"Barry County, Missouri","29","009","24636","1442","2936","10064","4925","1707","2496","1066","29","009",2018
"Boone County, Missouri","29","019","105495","1826","4335","22382","20810","7630","27238","21274","29","019",2018
"Cole County, Missouri","29","051","52631","1392","2854","16159","10900","4018","11286","6022","29","051",2018
"Crawford County, Missouri","29","055","16856","1314","2554","6631","3470","994","1268","625","29","055",2018
"Iron County, Missouri","29","093","7350","462","949","3104","1505","527","560","243","29","093",2018
"Livingston County, Missouri","29","117","10697","428","1073","4140","1881","1108","1356","711","29","117",2018
"Moniteau County, Missouri","29","135","10631","799","880","4501","1911","523","1509","508","29","135",2018
"Pemiscot County, Missouri","29","155","11060","1192","1344","4563","1985","639","840","497","29","155",2018
"Pettis County, Missouri","29","159","28088","1679","2510","9690","6446","2604","3272","1887","29","159",2018
"Shannon County, Missouri","29","203","5807","376","737","2468","983","328","617","298","29","203",2018
"Randolph County, Missouri","29","175","17171","754","1591","6078","4102","2020","1669","957","29","175",2018
"Dunklin County, Missouri","29","069","20069","2097","2822","7497","3699","1323","1761","870","29","069",2018
"Franklin County, Missouri","29","071","70891","2629","5847","23225","17638","7311","9027","5214","29","071",2018
"Howard County, Missouri","29","089","6571","256","505","2530","1250","424","983","623","29","089",2018
"Jackson County, Missouri","29","095","468822","14705","30787","133015","111429","34138","92136","52612","29","095",2018
"Miller County, Missouri","29","131","17186","818","1492","7415","3404","1205","1799","1053","29","131",2018
"Putnam County, Missouri","29","171","3349","141","217","1373","631","355","418","214","29","171",2018
"Taney County, Missouri","29","213","37622","919","3333","12801","10857","2772","4661","2279","29","213",2018
"Buchanan County, Missouri","29","021","60435","2282","4824","22369","14695","3755","8299","4211","29","021",2018
"Caldwell County, Missouri","29","025","6189","179","425","2675","1297","482","838","293","29","025",2018
"Cass County, Missouri","29","037","69335","1654","3639","22934","17215","5765","11900","6228","29","037",2018
"Clinton County, Missouri","29","049","14145","208","983","5572","3459","1179","2011","733","29","049",2018
"Dallas County, Missouri","29","059","11359","859","1187","4785","2456","666","787","619","29","059",2018
"Hickory County, Missouri","29","085","7311","285","820","3175","1643","656","459","273","29","085",2018
"Lincoln County, Missouri","29","113","36484","862","3411","15381","7527","3501","4013","1789","29","113",2018
"Monroe County, Missouri","29","137","6122","235","409","2957","1286","449","544","242","29","137",2018
"Newton County, Missouri","29","145","39121","1767","3434","13464","9455","3293","5183","2525","29","145",2018
"Pike County, Missouri","29","163","12800","673","1375","5771","2291","625","1546","519","29","163",2018
"St. Charles County, Missouri","29","183","263532","3623","10251","66271","59287","24415","63537","36148","29","183",2018
"Cape Girardeau County, Missouri","29","031","50269","1612","3055","16126","10986","3137","9572","5781","29","031",2018
"Shelby County, Missouri","29","205","4172","165","248","1777","1008","265","494","215","29","205",2018
"Webster County, Missouri","29","225","24717","1384","1876","9500","5935","1842","2630","1550","29","225",2018
"Atchison County, Missouri","29","005","3926","122","247","1553","845","274","649","236","29","005",2018
"Bates County, Missouri","29","013","11269","396","1107","5206","2203","678","1112","567","29","013",2018
"Benton County, Missouri","29","015","14639","701","1367","5974","3482","1150","1189","776","29","015",2018
"Carter County, Missouri","29","035","4201","134","574","1568","979","252","475","219","29","035",2018
"Dade County, Missouri","29","057","5457","259","496","2405","1227","326","547","197","29","057",2018
"Linn County, Missouri","29","115","8356","313","609","3845","1580","722","854","433","29","115",2018
"Howell County, Missouri","29","091","27261","1064","2409","10783","6046","2460","2472","2027","29","091",2018
"Johnson County, Missouri","29","101","31014","807","1671","9392","7521","2815","5194","3614","29","101",2018
"Laclede County, Missouri","29","105","24145","1009","2955","9453","5118","2064","2574","972","29","105",2018
"Maries County, Missouri","29","125","6333","307","555","2554","1328","698","642","249","29","125",2018
"Phelps County, Missouri","29","161","27925","1353","2067","8361","5577","2335","4592","3640","29","161",2018
"Platte County, Missouri","29","165","67000","868","2242","14600","15846","5446","17107","10891","29","165",2018
"St. Francois County, Missouri","29","187","46667","1891","5374","17580","10977","4290","3751","2804","29","187",2018
"St. Louis city, Missouri","29","510","219694","7776","20992","51909","47504","14547","42151","34815","29","510",2018
"Andrew County, Missouri","29","003","12090","290","682","4609","2767","865","1852","1025","29","003",2018
"Butler County, Missouri","29","023","29206","1589","3483","10505","6876","2713","2480","1560","29","023",2018
"Ward County, Texas","48","475","7234","828","710","2549","1884","279","695","289","48","475",2018
"Atascosa County, Texas","48","013","30916","3505","3527","12335","5923","1516","2875","1235","48","013",2018
"Nolan County, Texas","48","353","9613","817","1004","3178","2368","759","1101","386","48","353",2018
"Hudspeth County, Texas","48","229","2740","730","533","842","321","126","172","16","48","229",2018
"Harrison County, Texas","48","203","43759","2111","4480","15027","10655","3126","5809","2551","48","203",2018
"Menard County, Texas","48","327","1716","194","121","603","403","90","175","130","48","327",2018
"Fayette County, Texas","48","149","18026","1634","1212","7265","3494","1159","2431","831","48","149",2018
"Williamson County, Texas","48","491","346522","10851","12584","70838","79994","29687","94573","47995","48","491",2018
"Hutchinson County, Texas","48","233","14141","507","1545","4728","4165","1249","1378","569","48","233",2018
"Morris County, Texas","48","343","8673","372","637","3536","2446","340","856","486","48","343",2018
"Orange County, Texas","48","361","56063","1586","4980","21728","14211","5002","6604","1952","48","361",2018
"Winkler County, Texas","48","495","4547","802","698","1268","1083","263","306","127","48","495",2018
"Harris County, Texas","48","201","2923369","311908","245169","678269","592818","189478","577860","327867","48","201",2018
"Burnet County, Texas","48","053","32115","1550","2263","9992","7764","2474","5482","2590","48","053",2018
"Gillespie County, Texas","48","171","19255","1029","1018","5896","3814","990","4780","1728","48","171",2018
"Dallas County, Texas","48","113","1648710","187087","164354","372587","323718","94410","322294","184260","48","113",2018
"McMullen County, Texas","48","311","464","14","31","200","96","15","42","66","48","311",2018
"Young County, Texas","48","503","12441","594","1425","4371","3142","471","1719","719","48","503",2018
"Johnson County, Texas","48","251","106651","6319","9904","36008","27131","7744","13928","5617","48","251",2018
"Hopkins County, Texas","48","223","24295","1713","2243","8800","5615","1475","3033","1416","48","223",2018
"Ochiltree County, Texas","48","357","6174","774","753","1940","1349","422","730","206","48","357",2018
"Knox County, Texas","48","275","2377","234","230","771","536","139","326","141","48","275",2018
"McLennan County, Texas","48","309","150034","9370","14205","41380","34621","14966","22940","12552","48","309",2018
"Concho County, Texas","48","095","2990","710","423","841","579","80","244","113","48","095",2018
"Edwards County, Texas","48","137","1495","270","93","434","245","142","278","33","48","137",2018
"Eastland County, Texas","48","133","12553","673","1380","4451","3377","999","1008","665","48","133",2018
"Jeff Davis County, Texas","48","243","1706","64","190","387","388","79","273","325","48","243",2018
"Jim Hogg County, Texas","48","247","3148","396","416","1183","621","145","272","115","48","247",2018
"Montgomery County, Texas","48","339","360769","19088","26509","80427","82672","27019","82710","42344","48","339",2018
"Dimmit County, Texas","48","127","6534","1640","497","2170","1042","261","667","257","48","127",2018
"Webb County, Texas","48","479","149553","27935","21000","39427","24035","9607","19504","8045","48","479",2018
"Armstrong County, Texas","48","011","1413","62","102","345","431","145","228","100","48","011",2018
"Castro County, Texas","48","069","4717","831","403","1518","1067","198","434","266","48","069",2018
"Kleberg County, Texas","48","273","17263","1560","2038","4350","3961","1067","2997","1290","48","273",2018
"Cooke County, Texas","48","097","26634","1416","2267","8382","6922","2176","3748","1723","48","097",2018
"Crosby County, Texas","48","107","3753","407","488","1348","822","208","370","110","48","107",2018
"Fisher County, Texas","48","151","2718","212","171","932","638","270","391","104","48","151",2018
"Duval County, Texas","48","131","7254","1170","1216","2254","1511","431","407","265","48","131",2018
"Blanco County, Texas","48","031","8463","345","446","2433","2181","761","1411","886","48","031",2018
"Jasper County, Texas","48","241","23947","1159","2527","10681","5115","1500","1789","1176","48","241",2018
"Jefferson County, Texas","48","245","169331","12401","14657","55151","41050","12912","22559","10601","48","245",2018
"Kinney County, Texas","48","271","2747","369","362","979","655","117","224","41","48","271",2018
"Oldham County, Texas","48","359","1150","45","120","384","251","91","196","63","48","359",2018
"Lamb County, Texas","48","279","8351","1170","997","2720","1666","467","950","381","48","279",2018
"Lipscomb County, Texas","48","295","2275","177","229","757","467","202","330","113","48","295",2018
"McCulloch County, Texas","48","307","5715","433","706","1741","1511","238","761","325","48","307",2018
"Mason County, Texas","48","319","2976","220","132","974","891","164","427","168","48","319",2018
"Dickens County, Texas","48","125","1603","74","222","548","402","90","160","107","48","125",2018
"Lee County, Texas","48","287","11572","843","1022","4253","2840","778","1281","555","48","287",2018
"Tarrant County, Texas","48","439","1290366","87353","98243","309229","291433","98132","271552","134424","48","439",2018
"Anderson County, Texas","48","001","42009","2707","5644","15224","10696","2807","3189","1742","48","001",2018
"Ellis County, Texas","48","139","108071","7076","8419","30531","28112","8937","17562","7434","48","139",2018
"Jackson County, Texas","48","239","9840","686","965","3243","2705","654","1176","411","48","239",2018
"Kerr County, Texas","48","265","37151","1731","2548","10207","10463","2706","6161","3335","48","265",2018
"Milam County, Texas","48","331","16546","1118","1824","6320","3565","1434","1695","590","48","331",2018
"Comanche County, Texas","48","093","9440","1018","512","3419","2086","539","1346","520","48","093",2018
"Falls County, Texas","48","145","12035","1124","1639","4562","2343","814","1252","301","48","145",2018
"Brooks County, Texas","48","047","4143","627","613","1139","956","77","479","252","48","047",2018
"Austin County, Texas","48","015","20134","1699","1703","5906","4585","1501","3378","1362","48","015",2018
"Kenedy County, Texas","48","261","413","137","137","87","17","7","13","15","48","261",2018
"Colorado County, Texas","48","089","14336","1313","1338","5218","2662","1132","1956","717","48","089",2018
"Hooker County, Nebraska","31","091","511","17","16","177","104","75","87","35","31","091",2018
"Sarpy County, Nebraska","31","153","113634","1886","3515","23961","27469","11246","29327","16230","31","153",2018
"Boyd County, Nebraska","31","015","1508","35","47","629","344","178","219","56","31","015",2018
"Fillmore County, Nebraska","31","059","4094","144","187","1477","870","601","598","217","31","059",2018
"Seward County, Nebraska","31","159","10843","228","415","2916","2337","1782","2129","1036","31","159",2018
"Webster County, Nebraska","31","181","2486","55","139","868","554","308","351","211","31","181",2018
"Butler County, Nebraska","31","023","5572","156","282","2100","1238","688","848","260","31","023",2018
"Arthur County, Nebraska","31","005","280","0","16","74","68","44","62","16","31","005",2018
"Gage County, Nebraska","31","067","15300","716","855","5384","3416","1833","2251","845","31","067",2018
"Kearney County, Nebraska","31","099","4453","79","93","1523","1217","531","712","298","31","099",2018
"Madison County, Nebraska","31","119","22935","1232","1028","7034","4890","3604","3673","1474","31","119",2018
"Phelps County, Nebraska","31","137","6242","91","305","1994","1457","778","1158","459","31","137",2018
"Wayne County, Nebraska","31","179","5340","47","177","1359","1203","713","1209","632","31","179",2018
"Knox County, Nebraska","31","107","5874","209","310","1954","1359","769","902","371","31","107",2018
"Merrick County, Nebraska","31","121","5496","154","178","1814","1761","635","724","230","31","121",2018
"Pawnee County, Nebraska","31","133","1953","143","87","783","403","195","230","112","31","133",2018
"Wheeler County, Nebraska","31","183","642","8","23","220","193","87","76","35","31","183",2018
"Lander County, Nevada","32","015","3693","244","314","1428","790","490","182","245","32","015",2018
"Esmeralda County, Nevada","32","009","769","36","58","325","186","37","91","36","32","009",2018
"Marion County, Missouri","29","127","19260","662","1563","7348","4108","1556","2620","1403","29","127",2018
"Carroll County, Missouri","29","033","6186","220","615","2796","1104","397","724","330","29","033",2018
"Daviess County, Missouri","29","061","5509","389","455","2245","989","432","743","256","29","061",2018
"Holt County, Missouri","29","087","3298","94","207","1449","730","165","453","200","29","087",2018
"Osage County, Missouri","29","151","9236","428","506","4051","1620","884","1306","441","29","151",2018
"Ripley County, Missouri","29","181","9602","627","1294","4034","2074","529","668","376","29","181",2018
"Warren County, Missouri","29","219","23238","879","1944","8915","5369","1814","2915","1402","29","219",2018
"Washington County, Missouri","29","221","17250","1291","2735","6679","3578","1352","1027","588","29","221",2018
"Christian County, Missouri","29","043","56321","1167","3385","17114","13658","5120","10416","5461","29","043",2018
"DeKalb County, Missouri","29","063","9425","276","936","4279","1882","610","1109","333","29","063",2018
"Harrison County, Missouri","29","081","5884","352","401","2693","998","487","629","324","29","081",2018
"Lafayette County, Missouri","29","107","22565","725","1400","9738","4615","1560","2893","1634","29","107",2018
"Adair County, Missouri","29","001","13506","456","807","4831","2389","965","1963","2095","29","001",2018
"Scotland County, Missouri","29","199","3113","500","213","1213","595","218","274","100","29","199",2018
"Sullivan County, Missouri","29","211","4472","316","377","2203","744","287","324","221","29","211",2018
"Clark County, Missouri","29","045","4779","269","445","2101","888","432","411","233","29","045",2018
"Jasper County, Missouri","29","097","77951","3299","6809","26762","17459","5768","12773","5081","29","097",2018
"Lewis County, Missouri","29","111","6528","270","580","2995","1318","453","546","366","29","111",2018
"McDonald County, Missouri","29","119","15047","1562","1968","6106","2756","876","1171","608","29","119",2018
"Perry County, Missouri","29","157","13066","607","1024","5840","2622","885","1408","680","29","157",2018
"Polk County, Missouri","29","167","20204","615","1907","7499","4593","1479","2498","1613","29","167",2018
"Ray County, Missouri","29","177","15783","561","1474","7256","3386","917","1555","634","29","177",2018
"Hill County, Montana","30","041","10239","391","676","3041","2378","1243","1877","633","30","041",2018
"Chouteau County, Montana","30","015","3931","55","220","1276","929","377","855","219","30","015",2018
"Lincoln County, Montana","30","053","14770","747","1051","5162","3521","1301","2178","810","30","053",2018
"Park County, Montana","30","067","12310","176","387","3884","3037","832","2725","1269","30","067",2018
"Treasure County, Montana","30","103","570","17","16","203","156","44","100","34","30","103",2018
"Blaine County, Montana","30","005","4121","147","303","1069","1175","528","684","215","30","005",2018
"Sweet Grass County, Montana","30","097","2680","20","111","993","621","251","474","210","30","097",2018
"Teton County, Montana","30","099","4195","136","190","1358","1108","379","708","316","30","099",2018
"Prairie County, Montana","30","079","972","49","21","372","174","153","167","36","30","079",2018
"Glacier County, Montana","30","035","8017","165","721","3334","1560","714","995","528","30","035",2018
"Fallon County, Montana","30","025","1939","48","45","693","559","258","200","136","30","025",2018
"Golden Valley County, Montana","30","037","572","3","27","229","118","47","114","34","30","037",2018
"Silver Bow County, Montana","30","093","23427","544","1367","7910","5438","1991","4168","2009","30","093",2018
"Stillwater County, Montana","30","095","6743","97","247","2414","1621","660","1219","485","30","095",2018
"Jefferson County, Montana","30","043","8549","111","330","2435","1958","806","2061","848","30","043",2018
"Granite County, Montana","30","039","2496","83","132","827","571","218","400","265","30","039",2018
"Wheatland County, Montana","30","107","1429","184","105","504","318","35","210","73","30","107",2018
"Madison County, Montana","30","057","6473","91","211","2185","1437","681","1232","636","30","057",2018
"Sheridan County, Montana","30","091","2558","94","101","750","758","251","466","138","30","091",2018
"Carter County, Montana","30","011","985","21","49","357","261","125","146","26","30","011",2018
"Big Horn County, Montana","30","003","7706","218","694","2758","1875","824","983","354","30","003",2018
"Lake County, Montana","30","047","20370","479","1311","6056","5107","1709","3742","1966","30","047",2018
"Lewis and Clark County, Montana","30","049","46997","714","1642","11498","11052","3973","11222","6896","30","049",2018
"Pondera County, Montana","30","073","4054","163","136","1379","963","409","745","259","30","073",2018
"Yellowstone County, Montana","30","111","107642","1795","4956","32637","25532","9397","23496","9829","30","111",2018
"Missoula County, Montana","30","063","77154","844","2627","16405","18091","6370","19940","12877","30","063",2018
"Ravalli County, Montana","30","081","30940","687","2109","9381","7359","3032","5045","3327","30","081",2018
"Valley County, Montana","30","105","5314","82","245","1989","1341","549","824","284","30","105",2018
"Cascade County, Montana","30","013","55249","1311","3263","17475","13478","5333","9725","4664","30","013",2018
"Fergus County, Montana","30","027","8282","124","438","2472","2029","824","1829","566","30","027",2018
"Garfield County, Montana","30","033","755","14","21","314","196","83","102","25","30","033",2018
"Mineral County, Montana","30","061","3178","137","206","1154","783","349","374","175","30","061",2018
"Petroleum County, Montana","30","069","338","0","4","137","59","40","66","32","30","069",2018
"Powell County, Montana","30","077","5272","137","457","1957","1265","351","672","433","30","077",2018
"Sanders County, Montana","30","089","8796","295","647","3757","1912","680","1169","336","30","089",2018
"Wibaux County, Montana","30","109","807","55","47","328","142","67","148","20","30","109",2018
"Gallatin County, Montana","30","031","66579","772","1416","12497","14985","4267","21081","11561","30","031",2018
"Schleicher County, Texas","48","413","2001","267","163","481","629","131","257","73","48","413",2018
"San Patricio County, Texas","48","409","42736","3781","4960","13974","10523","3130","4364","2004","48","409",2018
"Randall County, Texas","48","381","86951","2007","5065","19061","24416","8569","18962","8871","48","381",2018
