"NAME","STATE","COUNTY","S1501_C01_006E","S1501_C01_007E","S1501_C01_008E","S1501_C01_009E","S1501_C01_010E","S1501_C01_011E","S1501_C01_012E","S1501_C01_013E","state","county","yr"
"Kittson County, Minnesota","27","069","3077","73","95","1114","730","269","542","254","27","069",2019
"Le Sueur County, Minnesota","27","079","19335","407","777","6926","4193","2585","3293","1154","27","079",2019
"Warren County, Kentucky","21","227","78027","4354","4921","20786","16131","6694","15116","10025","21","227",2019
"Owen County, Kentucky","21","187","7574","549","1016","3518","1042","620","588","241","21","187",2019
"Rockcastle County, Kentucky","21","203","11876","1451","1110","5160","2216","590","789","560","21","203",2019
"Scott County, Kentucky","21","209","35600","1158","2047","10800","8152","3339","6122","3982","21","209",2019
"Allen County, Kentucky","21","003","14417","1394","1180","5557","2722","1239","1493","832","21","003",2019
"Bourbon County, Kentucky","21","017","14060","949","1304","5012","3190","873","1703","1029","21","017",2019
"Bullitt County, Kentucky","21","029","55897","1888","4556","23261","12649","5308","5315","2920","21","029",2019
"Crittenden County, Kentucky","21","055","6367","425","605","2674","1275","556","488","344","21","055",2019
"Fulton County, Kentucky","21","075","4346","384","525","1627","959","268","382","201","21","075",2019
"Knott County, Kentucky","21","119","10563","1381","1252","3559","1864","937","759","811","21","119",2019
"Menifee County, Kentucky","21","165","4699","624","438","2102","728","282","394","131","21","165",2019
"Muhlenberg County, Kentucky","21","177","21740","1487","2397","9736","3461","1924","1711","1024","21","177",2019
"Perry County, Kentucky","21","193","18747","2094","2235","6189","3800","1730","1085","1614","21","193",2019
"Wolfe County, Kentucky","21","237","5174","576","884","1937","994","335","138","310","21","237",2019
"Clay County, Kentucky","21","051","14540","2337","2795","5136","2270","572","621","809","21","051",2019
"Bell County, Kentucky","21","013","18922","2572","3174","7280","2784","1379","803","930","21","013",2019
"Cumberland County, Kentucky","21","057","4875","370","519","2097","937","303","417","232","21","057",2019
"Graves County, Kentucky","21","083","25178","1188","1979","9939","5431","2270","2483","1888","21","083",2019
"Lee County, Kentucky","21","129","4962","916","666","1802","903","265","211","199","21","129",2019
"Butler County, Kentucky","21","031","8989","860","970","3857","1280","769","706","547","21","031",2019
"Edmonson County, Kentucky","21","061","8797","861","1064","3458","1751","760","493","410","21","061",2019
"Harrison County, Kentucky","21","097","12944","1079","1242","5220","2567","945","981","910","21","097",2019
"Bracken County, Kentucky","21","023","5726","296","521","2655","1062","436","435","321","21","023",2019
"Nelson County, Kentucky","21","179","30980","934","2235","11536","7548","3143","3400","2184","21","179",2019
"Wayne County, Kentucky","21","231","14703","1836","1902","5689","2515","948","1060","753","21","231",2019
"Marion County, Kentucky","21","155","12887","844","1546","5842","2007","1022","881","745","21","155",2019
"Trigg County, Kentucky","21","221","10313","474","763","3424","2699","1246","1107","600","21","221",2019
"Boone County, Kentucky","21","015","85741","2090","3787","23573","20995","7758","17748","9790","21","015",2019
"Jessamine County, Kentucky","21","113","34774","1267","3149","10612","6576","2910","6122","4138","21","113",2019
"Knox County, Kentucky","21","121","21016","2898","2674","7976","3513","971","1340","1644","21","121",2019
"Letcher County, Kentucky","21","133","15928","1552","2321","5894","2501","1726","951","983","21","133",2019
"Livingston County, Kentucky","21","139","6726","303","789","2933","1512","393","566","230","21","139",2019
"Pike County, Kentucky","21","195","42254","4350","5379","16650","7370","2991","2833","2681","21","195",2019
"Shelby County, Kentucky","21","211","32385","1761","2607","9809","7414","2735","4793","3266","21","211",2019
"Anderson County, Kentucky","21","005","15369","582","972","5623","3463","1629","1881","1219","21","005",2019
"Breckinridge County, Kentucky","21","027","14050","823","1417","6314","2705","1114","990","687","21","027",2019
"Franklin County, Kentucky","21","073","35540","1646","2268","11139","7513","2357","6563","4054","21","073",2019
"McCreary County, Kentucky","21","147","12115","1325","1515","4961","2239","1204","569","302","21","147",2019
"Madison County, Kentucky","21","151","55635","2687","4273","15609","11195","4750","9998","7123","21","151",2019
"Metcalfe County, Kentucky","21","169","7032","937","782","2711","1228","461","495","418","21","169",2019
"Owsley County, Kentucky","21","189","3089","567","398","1137","379","109","224","275","21","189",2019
"Simpson County, Kentucky","21","213","12280","472","1128","5510","2358","1072","1085","655","21","213",2019
"Clark County, Kentucky","21","049","25282","1341","2148","8661","5773","2269","3238","1852","21","049",2019
"Todd County, Kentucky","21","219","8146","1044","792","3298","1425","509","632","446","21","219",2019
"Carroll County, Kentucky","21","041","7178","577","983","2890","1643","495","387","203","21","041",2019
"Clinton County, Kentucky","21","053","7129","753","1155","2839","1176","475","411","320","21","053",2019
"Gallatin County, Kentucky","21","077","5842","407","693","2581","1179","302","539","141","21","077",2019
"Richland Parish, Louisiana","22","083","13792","761","2235","5643","2719","616","990","828","22","083",2019
"Yellow Medicine County, Minnesota","27","173","6829","232","364","2417","1635","1003","884","294","27","173",2019
"Mahnomen County, Minnesota","27","087","3345","110","329","1226","791","446","322","121","27","087",2019
"Chisago County, Minnesota","27","025","38402","412","1648","12968","9813","5307","5884","2370","27","025",2019
"Redwood County, Minnesota","27","127","10430","334","620","3898","2495","1095","1537","451","27","127",2019
"Todd County, Minnesota","27","153","16887","986","1207","6191","3744","2206","1860","693","27","153",2019
"Beltrami County, Minnesota","27","007","28514","546","1697","7916","6628","3395","5097","3235","27","007",2019
"Blue Earth County, Minnesota","27","013","38917","719","1410","10301","8176","4761","8886","4664","27","013",2019
"Houston County, Minnesota","27","055","13329","257","390","4562","2871","1940","2317","992","27","055",2019
"Lac qui Parle County, Minnesota","27","073","4972","123","212","1839","1184","680","688","246","27","073",2019
"Lake of the Woods County, Minnesota","27","077","2808","62","135","1084","790","269","374","94","27","077",2019
"Otter Tail County, Minnesota","27","111","41487","1190","2090","12252","9368","6244","7221","3122","27","111",2019
"Waseca County, Minnesota","27","161","12915","389","517","4704","2806","1734","1956","809","27","161",2019
"St. Louis County, Minnesota","27","137","136248","1970","5540","37043","33903","17846","26220","13726","27","137",2019
"Anoka County, Minnesota","27","003","238608","4722","9635","66574","54544","30345","51511","21277","27","003",2019
"Stearns County, Minnesota","27","145","97948","4434","3702","27419","21851","13638","18248","8656","27","145",2019
"Dakota County, Minnesota","27","037","284431","5727","8343","58133","58997","33132","82825","37274","27","037",2019
"Lyon County, Minnesota","27","083","16428","568","747","5205","3527","2090","3085","1206","27","083",2019
"Marshall County, Minnesota","27","089","6545","226","426","2413","1348","879","940","313","27","089",2019
"Renville County, Minnesota","27","129","10221","369","598","3737","2607","1352","1200","358","27","129",2019
"Washington County, Minnesota","27","163","172559","2687","4114","36185","34994","18190","48929","27460","27","163",2019
"Cook County, Minnesota","27","031","4282","29","95","1028","920","480","1167","563","27","031",2019
"Knox County, Missouri","29","103","2674","191","160","1155","540","168","311","149","29","103",2019
"Montgomery County, Missouri","29","139","8181","364","844","3659","1549","622","724","419","29","139",2019
"Stoddard County, Missouri","29","207","20542","1397","2532","8530","4169","1186","1882","846","29","207",2019
"Audrain County, Missouri","29","007","17575","745","1687","8041","3218","1295","1708","881","29","007",2019
"Greene County, Missouri","29","077","189325","4896","10722","52991","48164","14822","36673","21057","29","077",2019
"St. Clair County, Missouri","29","185","6967","284","794","2866","1533","522","607","361","29","185",2019
"Schuyler County, Missouri","29","197","3000","132","241","1387","658","204","225","153","29","197",2019
"Camden County, Missouri","29","029","34396","802","2485","13042","7883","2934","4643","2607","29","029",2019
"Jefferson County, Missouri","29","099","154522","3873","12912","48863","38506","18824","21051","10493","29","099",2019
"New Madrid County, Missouri","29","143","12109","669","1907","5650","1924","493","772","694","29","143",2019
"Ralls County, Missouri","29","173","7281","310","439","3565","1350","533","710","374","29","173",2019
"Custer County, Montana","30","017","8236","282","378","2366","2140","1041","1377","652","30","017",2019
"Powder River County, Montana","30","075","1214","19","53","361","387","98","252","44","30","075",2019
"Roosevelt County, Montana","30","085","6443","201","602","2035","1898","586","782","339","30","085",2019
"Liberty County, Montana","30","051","1737","408","110","373","427","155","186","78","30","051",2019
"Richland County, Montana","30","083","7431","228","345","2613","1938","901","1031","375","30","083",2019
"Toole County, Montana","30","101","3586","150","253","1435","872","330","443","103","30","101",2019
"Daniels County, Montana","30","019","1283","12","48","475","332","108","242","66","30","019",2019
"Judith Basin County, Montana","30","045","1483","22","61","478","364","164","340","54","30","045",2019
"Deer Lodge County, Montana","30","023","6922","176","443","2635","1659","594","1076","339","30","023",2019
"McCone County, Montana","30","055","1229","34","58","477","318","130","172","40","30","055",2019
"Rosebud County, Montana","30","087","5759","182","394","1767","1686","704","670","356","30","087",2019
"Dawson County, Montana","30","021","6321","70","370","2159","1380","938","976","428","30","021",2019
"Broadwater County, Montana","30","007","4288","112","181","1380","1095","360","843","317","30","007",2019
"Phillips County, Montana","30","071","2882","89","174","1137","804","181","358","139","30","071",2019
"Blaine County, Nebraska","31","009","361","0","18","112","87","61","49","34","31","009",2019
"Deuel County, Nebraska","31","049","1353","69","77","455","395","142","166","49","31","049",2019
"Logan County, Nebraska","31","113","617","9","28","186","173","100","108","13","31","113",2019
"Thayer County, Nebraska","31","169","3583","85","189","1276","838","521","487","187","31","169",2019
"Adams County, Nebraska","31","001","20558","945","1108","5777","5270","2456","3217","1785","31","001",2019
"Boone County, Nebraska","31","011","3663","60","126","1376","826","503","523","249","31","011",2019
"St. Martin Parish, Louisiana","22","099","35929","2542","3968","15443","6817","1942","3955","1262","22","099",2019
"Vernon Parish, Louisiana","22","115","30172","1084","2895","12142","6572","2186","3804","1489","22","115",2019
"Winn Parish, Louisiana","22","127","10182","662","1187","4660","1498","755","946","474","22","127",2019
"East Baton Rouge Parish, Louisiana","22","033","280581","8135","18586","76551","63644","15654","60977","37034","22","033",2019
"Sabine Parish, Louisiana","22","085","16559","656","1705","7717","3065","1210","1443","763","22","085",2019
"Allen Parish, Louisiana","22","003","17895","1174","2459","7928","3135","1179","1405","615","22","003",2019
"Madison Parish, Louisiana","22","065","7519","693","1273","2778","1417","395","616","347","22","065",2019
"Jefferson Davis Parish, Louisiana","22","053","20782","1391","2502","8394","3778","1209","2250","1258","22","053",2019
"St. James Parish, Louisiana","22","093","14633","586","1556","6020","3026","1054","1719","672","22","093",2019
"Grant Parish, Louisiana","22","043","15999","806","2000","7494","3061","1282","959","397","22","043",2019
"West Feliciana Parish, Louisiana","22","125","11556","674","1396","3680","2530","484","2042","750","22","125",2019
"Jefferson Parish, Louisiana","22","051","305524","17222","26560","94119","68006","17599","54300","27718","22","051",2019
"Monroe County, Alabama","01","099","14718","624","1489","6952","2456","1214","1335","648","01","099",2019
"Lawrence County, Alabama","01","079","23314","1570","3255","9605","4189","1765","1970","960","01","079",2019
"Lee County, Alabama","01","081","97055","2750","6099","23026","21993","8914","19015","15258","01","081",2019
"Marion County, Alabama","01","093","21272","1682","2663","7408","4843","1961","1683","1032","01","093",2019
"Pickens County, Alabama","01","107","14495","863","1817","5388","3321","1059","1444","603","01","107",2019
"Sumter County, Alabama","01","119","8088","302","774","2860","1893","515","921","823","01","119",2019
"Jefferson County, Alabama","01","073","449743","12683","32001","118636","97742","38557","91545","58579","01","073",2019
"Choctaw County, Alabama","01","023","9329","498","1239","3515","1938","1026","715","398","01","023",2019
"Franklin County, Alabama","01","059","20786","2080","2659","7601","3791","1748","1819","1088","01","059",2019
"Marengo County, Alabama","01","091","13092","687","1431","4970","2725","1170","1136","973","01","091",2019
"Russell County, Alabama","01","113","38920","1973","4324","12237","9088","4361","4453","2484","01","113",2019
"Cherokee County, Alabama","01","019","18874","1289","2189","7598","3806","1585","1254","1153","01","019",2019
"Covington County, Alabama","01","039","26324","1491","2875","9819","5554","2565","2599","1421","01","039",2019
"Crenshaw County, Alabama","01","041","9690","713","1303","3830","1584","573","1234","453","01","041",2019
"Dallas County, Alabama","01","047","26200","1126","3631","9411","5269","2909","2305","1549","01","047",2019
"Lauderdale County, Alabama","01","077","63606","2660","5366","22873","13388","4371","9455","5493","01","077",2019
"Lowndes County, Alabama","01","085","7062","397","1132","2800","1070","626","652","385","01","085",2019
"Macon County, Alabama","01","087","12033","495","1695","3633","2890","870","1414","1036","01","087",2019
"Limestone County, Alabama","01","083","65942","3608","6490","20044","13456","5373","11450","5521","01","083",2019
"Shelby County, Alabama","01","117","145427","3470","7188","28835","32208","11295","41301","21130","01","117",2019
"Winston County, Alabama","01","133","17156","1212","2423","6556","3539","1225","1252","949","01","133",2019
"Baldwin County, Alabama","01","003","151112","3467","10426","41797","32998","14276","31801","16347","01","003",2019
"Elmore County, Alabama","01","051","56093","2511","4992","18232","11001","5297","9143","4917","01","051",2019
"Jackson County, Alabama","01","071","36999","1907","4311","15177","6882","3547","3525","1650","01","071",2019
"Talladega County, Alabama","01","121","55993","2988","8026","18881","12958","4763","5270","3107","01","121",2019
"Washington County, Alabama","01","129","11346","610","1361","4886","2081","971","800","637","01","129",2019
"Clay County, Alabama","01","027","9459","951","1254","3577","1777","901","562","437","01","027",2019
"Morgan County, Alabama","01","103","82478","5033","8104","25075","18521","7269","12670","5806","01","103",2019
"Pike County, Alabama","01","109","19298","908","1993","6899","4119","799","2718","1862","01","109",2019
"Colbert County, Alabama","01","033","38959","1670","4113","14740","8384","2982","4492","2578","01","033",2019
"Dale County, Alabama","01","045","33509","1436","3215","10819","8612","3349","4047","2031","01","045",2019
"Hale County, Alabama","01","065","9921","457","1130","4303","1879","741","925","486","01","065",2019
"DeKalb County, Alabama","01","049","47990","5599","6473","16431","8765","4476","3727","2519","01","049",2019
"Escambia County, Alabama","01","053","25859","1173","3705","11308","4542","1907","2112","1112","01","053",2019
"Randolph County, Alabama","01","111","15776","1129","2084","5502","3157","1297","1513","1094","01","111",2019
"Mobile County, Alabama","01","097","278838","8706","29030","94715","59555","22143","42982","21707","01","097",2019
"Perry County, Alabama","01","105","5883","511","499","2172","1171","190","757","583","01","105",2019
"Cleburne County, Alabama","01","029","10481","691","1507","3980","2089","598","1056","560","01","029",2019
"Conecuh County, Alabama","01","035","8833","370","1014","4516","1118","687","724","404","01","035",2019
"Barbour County, Alabama","01","005","17964","1524","3288","6396","3382","1294","1367","713","01","005",2019
"Bibb County, Alabama","01","007","16168","1048","2338","7256","2659","1189","1043","635","01","007",2019
"Calhoun County, Alabama","01","015","79108","4081","8234","25940","19759","6474","8311","6309","01","015",2019
"Clarke County, Alabama","01","025","16770","876","2383","7005","3115","1341","1214","836","01","025",2019
"Fayette County, Alabama","01","057","11706","841","1196","4831","2595","792","1062","389","01","057",2019
"Rock County, Nebraska","31","149","1018","22","12","346","249","153","175","61","31","149",2019
"Sherman County, Nebraska","31","163","2219","70","86","804","596","215","326","122","31","163",2019
"Cameron Parish, Louisiana","22","023","4809","188","547","1938","1113","414","417","192","22","023",2019
"Beauregard Parish, Louisiana","22","011","24684","1375","2250","9393","5511","1759","2958","1438","22","011",2019
"Bienville Parish, Louisiana","22","013","9456","381","1121","4212","1899","630","767","446","22","013",2019
"Bossier Parish, Louisiana","22","015","83544","2679","5966","24841","20852","8180","13857","7169","22","015",2019
"East Feliciana Parish, Louisiana","22","037","14264","637","2209","6202","2615","787","1310","504","22","037",2019
"St. John the Baptist Parish, Louisiana","22","095","28718","1032","2966","11146","6900","2108","3165","1401","22","095",2019
"Plaquemines Parish, Louisiana","22","075","15328","1317","1176","5435","3645","829","2109","817","22","075",2019
"Ouachita Parish, Louisiana","22","073","101096","3455","10156","34480","22873","5643","16344","8145","22","073",2019
"Washington Parish, Louisiana","22","117","31520","2098","4377","14078","5638","1679","2416","1234","22","117",2019
"St. Landry Parish, Louisiana","22","097","53804","4856","7671","22163","8339","2838","5379","2558","22","097",2019
"Acadia Parish, Louisiana","22","001","41205","3673","5000","17035","7314","2705","4113","1365","22","001",2019
"St. Mary Parish, Louisiana","22","101","34510","2045","3887","17597","5157","2293","2419","1112","22","101",2019
"St. Tammany Parish, Louisiana","22","103","174332","5115","11366","46450","41041","11382","38209","20769","22","103",2019
"Union Parish, Louisiana","22","111","15686","864","1381","7033","2767","941","2019","681","22","111",2019
"Caddo Parish, Louisiana","22","017","165903","5704","15835","55944","37105","12252","24159","14904","22","017",2019
"Ascension Parish, Louisiana","22","005","79773","2747","6318","25794","17037","6778","14489","6610","22","005",2019
"Lafayette Parish, Louisiana","22","055","161920","6082","12298","49247","32483","8338","36900","16572","22","055",2019
"Iberia Parish, Louisiana","22","045","46765","3580","5799","20440","7770","2832","4507","1837","22","045",2019
"Lincoln Parish, Louisiana","22","061","25824","961","2016","6926","5177","1544","5485","3715","22","061",2019
"St. Helena Parish, Louisiana","22","091","7413","403","1262","2854","1141","517","740","496","22","091",2019
"Webster Parish, Louisiana","22","119","27212","895","3495","11427","5223","1980","2934","1258","22","119",2019
"De Soto Parish, Louisiana","22","031","18514","916","2313","7888","3587","1066","1742","1002","22","031",2019
"Iberville Parish, Louisiana","22","047","23035","1279","3410","9522","4341","1281","2325","877","22","047",2019
"Livingston Parish, Louisiana","22","063","91789","4472","9129","34956","18980","6169","13014","5069","22","063",2019
"Morehouse Parish, Louisiana","22","067","17069","1144","2347","7322","2985","1058","1815","398","22","067",2019
"Orleans Parish, Louisiana","22","071","277484","10385","26964","63287","59525","13066","58954","45303","22","071",2019
"Terrebonne Parish, Louisiana","22","109","74110","6989","8605","28864","13937","4178","8182","3355","22","109",2019
"Calcasieu Parish, Louisiana","22","019","133430","5548","12021","45462","30661","10034","19776","9928","22","019",2019
"Claiborne Parish, Louisiana","22","027","11958","718","1730","5206","2335","442","955","572","22","027",2019
"Avoyelles Parish, Louisiana","22","009","27757","1883","4558","10500","5680","1729","2192","1215","22","009",2019
"Jackson Parish, Louisiana","22","049","11232","664","1510","4782","2021","681","1087","487","22","049",2019
"Pointe Coupee Parish, Louisiana","22","077","15380","882","2220","6048","3011","925","1772","522","22","077",2019
"St. Charles Parish, Louisiana","22","089","35205","1099","2414","12147","7939","2711","6695","2200","22","089",2019
"Lafourche Parish, Louisiana","22","057","66569","5909","8577","26988","10421","3417","7749","3508","22","057",2019
"Tensas Parish, Louisiana","22","107","3171","143","572","1462","542","91","264","97","22","107",2019
"LaSalle Parish, Louisiana","22","059","10005","820","1424","4250","1596","550","1028","337","22","059",2019
"Lincoln County, Maine","23","015","26321","541","1283","9050","4670","1966","4811","4000","23","015",2019
"Waldo County, Maine","23","027","29220","699","1592","9406","5868","2481","5876","3298","23","027",2019
"Piscataquis County, Maine","23","021","12888","454","801","5251","2351","1658","1659","714","23","021",2019
"Aroostook County, Maine","23","003","50280","2438","3308","18745","10524","5589","6606","3070","23","003",2019
"Washington County, Maine","23","029","23107","915","1558","8788","4636","2118","3251","1841","23","029",2019
"Knox County, Maine","23","013","30014","485","1445","9883","5781","2354","6348","3718","23","013",2019
"Sagadahoc County, Maine","23","023","26547","394","1199","7955","4807","2540","5558","4094","23","023",2019
"Kennebec County, Maine","23","011","87875","2646","3923","28732","18313","9612","15073","9576","23","011",2019
"Franklin County, Maine","23","007","21589","334","1271","8210","4139","2283","3370","1982","23","007",2019
"Hancock County, Maine","23","009","41572","835","1633","12804","8348","3794","8328","5830","23","009",2019
"Baltimore city, Maryland","24","510","423638","19820","42832","123310","82234","20254","71022","64166","24","510",2019
"Somerset County, Maryland","24","039","17025","811","2370","6761","3648","979","1653","803","24","039",2019
"Harford County, Maryland","24","025","174831","3973","8851","45434","37035","15374","37313","26851","24","025",2019
"Allegany County, Maryland","24","001","49921","1255","3634","20856","9772","4976","5405","4023","24","001",2019
"Boyd County, Nebraska","31","015","1453","20","38","638","349","166","193","49","31","015",2019
"Howard County, Nebraska","31","093","4465","125","103","1618","1156","520","704","239","31","093",2019
"Gosper County, Nebraska","31","073","1576","14","97","434","353","213","332","133","31","073",2019
"Sarpy County, Nebraska","31","153","115915","1998","3235","25175","27835","11564","29647","16461","31","153",2019
"Fillmore County, Nebraska","31","059","4066","120","201","1361","869","643","610","262","31","059",2019
"Hooker County, Nebraska","31","091","511","14","19","180","98","65","109","26","31","091",2019
"Seward County, Nebraska","31","159","10859","257","395","3107","2330","1633","2077","1060","31","159",2019
"Webster County, Nebraska","31","181","2456","36","116","871","542","325","371","195","31","181",2019
"Butler County, Nebraska","31","023","5544","138","249","2082","1175","714","882","304","31","023",2019
"Arthur County, Nebraska","31","005","286","1","17","74","70","49","51","24","31","005",2019
"Gage County, Nebraska","31","067","15212","584","939","5427","3299","1801","2233","929","31","067",2019
"Kearney County, Nebraska","31","099","4419","67","91","1289","1294","499","886","293","31","099",2019
"Madison County, Nebraska","31","119","22916","1185","1010","6971","4956","3524","3651","1619","31","119",2019
"Phelps County, Nebraska","31","137","6281","78","343","1877","1721","787","1039","436","31","137",2019
"Wayne County, Nebraska","31","179","5338","38","175","1470","1092","836","1184","543","31","179",2019
"Knox County, Nebraska","31","107","5837","174","285","1975","1327","813","890","373","31","107",2019
"Merrick County, Nebraska","31","121","5505","122","195","1944","1730","534","736","244","31","121",2019
"Pawnee County, Nebraska","31","133","1926","126","112","782","367","210","208","121","31","133",2019
"Wheeler County, Nebraska","31","183","607","5","22","197","174","91","76","42","31","183",2019
"Lander County, Nevada","32","015","3871","196","257","1471","897","570","209","271","32","015",2019
"Esmeralda County, Nevada","32","009","803","30","64","326","199","55","95","34","32","009",2019
"Mineral County, Nevada","32","021","3245","70","287","1160","1049","194","330","155","32","021",2019
"Lincoln County, Nevada","32","017","3713","100","413","1272","918","282","449","279","32","017",2019
"Washoe County, Nevada","32","031","316319","14553","21387","74437","81282","27123","60675","36862","32","031",2019
"Carson City, Nevada","32","510","39324","1736","3385","10205","11328","3951","5629","3090","32","510",2019
"Merrimack County, New Hampshire","33","013","106647","2298","4902","29541","19562","12336","21824","16184","33","013",2019
"Belknap County, New Hampshire","33","001","45114","689","2385","13299","9435","4619","8810","5877","33","001",2019
"Strafford County, New Hampshire","33","017","84448","1724","4373","23313","16241","8603","18891","11303","33","017",2019
"Monmouth County, New Jersey","34","025","435916","11570","17073","102013","72209","32343","121529","79179","34","025",2019
"Sussex County, New Jersey","34","037","101146","1470","3720","30944","19929","8552","24566","11965","34","037",2019
"Essex County, New Jersey","34","013","534581","37511","36863","149902","89670","31085","112656","76894","34","013",2019
"Gloucester County, New Jersey","34","015","200900","4743","9542","64305","37820","18186","43243","23061","34","015",2019
"Passaic County, New Jersey","34","031","333805","30161","24115","115311","52739","17440","63484","30555","34","031",2019
"Bergen County, New Jersey","34","003","656412","24933","24228","148853","95755","38717","200390","123536","34","003",2019
"Warren County, New Jersey","34","041","75598","2652","3777","23149","14420","6637","16729","8234","34","041",2019
"Burlington County, New Jersey","34","005","313945","6540","13090","88177","60199","26588","76433","42918","34","005",2019
"Luna County, New Mexico","35","029","15383","2352","2295","5293","2541","976","1184","742","35","029",2019
"Taos County, New Mexico","35","055","24334","797","1604","6864","6429","1653","4127","2860","35","055",2019
"Colfax County, New Mexico","35","007","9141","339","737","2685","2577","818","1129","856","35","007",2019
"Harding County, New Mexico","35","021","355","13","39","94","79","53","52","25","35","021",2019
"Quay County, New Mexico","35","037","5932","237","836","2116","1217","513","608","405","35","037",2019
"Noxubee County, Mississippi","28","103","6943","799","1220","2058","1040","741","812","273","28","103",2019
"Tate County, Mississippi","28","137","18618","989","2178","6599","3920","1988","1986","958","28","137",2019
"Panola County, Mississippi","28","107","22625","1568","2829","8283","3844","2739","2142","1220","28","107",2019
"Yalobusha County, Mississippi","28","161","8581","498","938","3449","1835","679","829","353","28","161",2019
"Iowa County, Iowa","19","095","11276","239","458","4188","2755","1512","1621","503","19","095",2019
"Winnebago County, Iowa","19","189","7117","187","351","2428","1619","984","1176","372","19","189",2019
"Shelby County, Iowa","19","165","8236","233","391","2910","1763","1114","1379","446","19","165",2019
"Appanoose County, Iowa","19","007","8901","305","571","3251","2240","1080","1024","430","19","007",2019
"Page County, Iowa","19","145","11135","224","720","4061","2655","1222","1667","586","19","145",2019
"Winneshiek County, Iowa","19","191","13265","253","379","4382","2272","1925","2470","1584","19","191",2019
"Pottawattamie County, Iowa","19","155","63198","2057","4601","20652","15048","7273","9315","4252","19","155",2019
"Marshall County, Iowa","19","127","26497","2421","1859","9062","5359","2815","3671","1310","19","127",2019
"Boone County, Iowa","19","015","18546","268","860","5848","4227","2652","3356","1335","19","015",2019
"Buena Vista County, Iowa","19","021","12564","1399","1309","3812","2337","1230","1690","787","19","021",2019
"Howard County, Iowa","19","089","6280","320","251","2511","1247","956","726","269","19","089",2019
"Guthrie County, Iowa","19","077","7536","131","388","2934","1755","836","1028","464","19","077",2019
"Humboldt County, Iowa","19","091","6701","176","305","2482","1241","1076","1124","297","19","091",2019
"Madison County, Iowa","19","121","10982","302","332","4014","2277","1366","2037","654","19","121",2019
"Guaynabo Municipio, Puerto Rico","72","061","64561","6686","3345","10932","8737","5744","17887","11230","72","061",2019
"Fajardo Municipio, Puerto Rico","72","053","21766","2450","1887","7403","2813","1717","4307","1189","72","053",2019
"Aguas Buenas Municipio, Puerto Rico","72","007","18209","3406","1935","5416","2385","1830","2689","548","72","007",2019
"Hatillo Municipio, Puerto Rico","72","065","28797","5787","2104","6568","2342","4906","5222","1868","72","065",2019
"Santa Isabel Municipio, Puerto Rico","72","133","14655","1602","767","5840","1495","1241","2585","1125","72","133",2019
"Mayagüez Municipio, Puerto Rico","72","097","50368","9571","4564","14113","5727","3096","9000","4297","72","097",2019
"Río Grande Municipio, Puerto Rico","72","119","35119","4490","3193","11622","4149","3656","6428","1581","72","119",2019
"Añasco Municipio, Puerto Rico","72","011","19361","4196","1696","5802","1872","2132","2904","759","72","011",2019
"Cataño Municipio, Puerto Rico","72","033","16966","2712","1778","5093","2161","1774","2283","1165","72","033",2019
"Guánica Municipio, Puerto Rico","72","055","11275","1973","1419","4228","805","1097","1407","346","72","055",2019
"Loíza Municipio, Puerto Rico","72","087","17839","2597","1869","7036","1498","2215","2173","451","72","087",2019
"Las Piedras Municipio, Puerto Rico","72","085","26412","3805","2049","6419","5224","3006","4282","1627","72","085",2019
"Vega Baja Municipio, Puerto Rico","72","145","36914","6133","4361","9681","4544","4361","5554","2280","72","145",2019
"Lafayette County, Arkansas","05","073","4903","273","722","1972","845","316","567","208","05","073",2019
"Phillips County, Arkansas","05","107","11999","844","1523","3833","3049","1097","1037","616","05","107",2019
"Yell County, Arkansas","05","149","14497","1339","1821","5806","2969","704","1310","548","05","149",2019
"Bradley County, Arkansas","05","011","7520","560","866","3105","1480","431","779","299","05","011",2019
"Polk County, Arkansas","05","113","14053","777","1342","5136","3537","1280","1211","770","05","113",2019
"Ouachita County, Arkansas","05","103","16380","464","1822","6816","3700","1208","1425","945","05","103",2019
"Little River County, Arkansas","05","081","8694","175","785","3882","2248","514","708","382","05","081",2019
"Miller County, Arkansas","05","091","29661","1156","2862","10473","8384","1816","3415","1555","05","091",2019
"White County, Arkansas","05","145","51108","2798","5177","20092","8562","3820","6466","4193","05","145",2019
"Lake County, California","06","033","46426","2472","4132","14169","13443","4998","4659","2553","06","033",2019
"Yuba County, California","06","115","48033","3347","5159","11333","14829","5172","5872","2321","06","115",2019
"Lassen County, California","06","035","22615","849","2958","7799","6121","1960","2080","848","06","035",2019
"Sonoma County, California","06","097","359314","20970","19310","67371","89687","34394","79864","47718","06","097",2019
"Imperial County, California","06","025","110125","17182","16154","26782","26061","7186","11716","5044","06","025",2019
"Alameda County, California","06","001","1172662","69534","65990","205980","201377","73676","320319","235786","06","001",2019
"Napa County, California","06","055","98223","9024","5203","17473","22483","8949","22816","12275","06","055",2019
"Sierra County, California","06","091","2420","31","154","766","822","213","205","229","06","091",2019
"Yolo County, California","06","113","127586","8786","8393","23086","25283","9187","27562","25289","06","113",2019
"Nevada County, California","06","057","76000","1260","3026","13957","21395","8055","18412","9895","06","057",2019
"Mendocino County, California","06","045","62005","3725","4621","15528","17816","5158","9685","5472","06","045",2019
